영화코드,영화명,개봉일,제작국가,장르,감독,배우,상영시간,누적 관객수
51,1987 (1987: When the Day Comes),2017-12-27,한국,드라마,장준환,"김윤석,하정우,유해진,김태리,이희준",129분 5초,"7,232,412"
52,뽀로로 극장판 컴퓨터 왕국 대모험 (Pororo3 : Cyber Space Adventure),2015-12-10,한국,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기",62분 3초,"446,054"
53,건축학개론 (Architecture 101),2012-03-22,한국,멜로/로맨스,이용주,"이제훈,배수지,엄태웅,한가인",118분 0초,"4,113,923"
54,데드풀 (Deadpool),2016-02-17,미국,액션,팀 밀러,"라이언 레이놀즈,모레나 바카린,에드 스크레인,지나 카라노,T.J. 밀러,브리아나 힐데브란드",107분 59초,"3,322,773"
55,쥬라기 월드: 폴른 킹덤 (JURASSIC WORLD: FALLEN KINGDOM),2018-06-06,미국,액션,후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼",127분 36초,"5,661,128"
56,꾼 (The Swindlers),2017-11-22,한국,범죄,장창원,"현빈,유지태",116분 55초,"4,018,341"
57,해적: 바다로 간 산적 (The Pirates),2014-08-06,한국,어드벤처,이석훈,"김남길,손예진,신정근",129분 37초,"8,666,208"
58,코코 (COCO),2018-01-11,미국,애니메이션,리 언크리치,"가엘 가르시아 베르날,앤서니 곤잘레스,벤자민 브랫",126분 44초,"3,513,114"
59,더 킹 (The King),2017-01-18,한국,범죄,한재림,"조인성,정우성,배성우,류준열,김의성,이석호",134분 27초,"5,318,007"
60,프리즌 (The Prison),2017-03-23,한국,범죄,나현,"한석규,김래원",124분 49초,"2,931,953"
61,닥터 스트레인지 (Doctor Strange),2016-10-26,미국,액션,스콧 데릭슨,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포",114분 47초,"5,447,269"
62,아수라 (Asura : The City of Madness),2016-09-28,한국,범죄,김성수,"정우성,황정민,주지훈",132분 21초,"2,594,778"
63,타짜-신의 손 (Tazza-The Hidden Card),2014-09-03,한국,드라마,강형철,"최승현,신세경,곽도원,유해진,김윤석,이하늬,김인권,이경영,고수희,오정세",147분 4초,"4,015,361"
64,암수살인 (Dark Figure of Crime),2018-10-03,한국,범죄,김태균,"김윤석,주지훈,문정희,진선규,이유준",109분 59초,"3,789,553"
65,연평해전 (Northern Limit Line),2015-06-24,한국,드라마,김학순,"김무열,진구,이현우,이완",130분 0초,"6,045,049"
66,안시성 (The Great Battle),2018-09-19,한국,사극,김광식,"조인성,남주혁,박성웅,김동진",135분 29초,"5,441,020"
67,다만 악에서 구하소서 (DELIVER US FROM EVIL),2020-08-05,한국,범죄,홍원찬,"황정민,이정재,박정민,박소이",107분 49초,"4,357,803"
68,사도 (The Throne),2015-09-16,한국,사극,이준익,"송강호,유아인,문근영",125분 24초,"6,247,745"
69,킹스맨: 골든 서클 (Kingsman: The Golden Circle),2017-09-27,미국,액션,매튜 본,"콜린 퍼스,줄리안 무어,태런 에저튼,마크 스트롱,할리 베리,엘튼 존,채닝 테이텀,제프 브리지스",140분 49초,"4,945,484"
70,신의 한 수 (The Divine Move),2014-07-03,한국,범죄,조범구,"정우성,안성기,이범수,김인권,이시영,안길강,최진혁",117분 31초,"3,566,852"
71,나쁜 녀석들: 더 무비 (The Bad Guys: Reign of Chaos),2019-09-11,한국,범죄,손용호,"마동석,김상중,김아중,장기용",114분 52초,"4,573,902"
72,박수건달 (Man on the Edge),2013-01-09,한국,코미디,조진규,"박신양,김정태,엄지원,정혜영",128분 0초,"3,897,969"
73,블랙 팬서 (Black Panther),2018-02-14,미국,액션,라이언 쿠글러,채드윅 보스만,134분 22초,"5,399,327"
74,토르: 라그나로크 (THOR: RAGNAROK),2017-10-25,미국,액션,타이카 와이티티,"크리스 헴스워스,톰 히들스턴,케이트 블란쳇,이드리스 엘바,제프 골드블럼,테사 톰슨,칼 어번,마크 러팔로,안소니 홉킨스",130분 21초,"4,858,572"
75,베를린 (The Berlin File),2013-01-30,한국,액션,류승완,"하정우,한석규,류승범,전지현",120분 0초,"7,166,688"
,스파이더맨: 홈 커밍 (Spider-Man: Homecoming),2017-07-05,미국,액션,존 왓츠,"톰 홀랜드,로버트 다우니 주니어,마이클 키튼",133분 16초,"7,258,678"
77,은교 (Eungyo),2012-04-25,한국,멜로/로맨스,정지우,"박해일,김무열,김고은",129분 0초,"1,346,511"
78,그것만이 내 세상 (Keys to the Heart),2018-01-17,한국,코미디,최성현,"이병헌,윤여정,박정민",120분 27초,"3,420,199"
79,미이라 (The Mummy),2017-06-06,미국,액션,알렉스 커츠먼,"톰 크루즈,소피아 부텔라,애나벨 월리스,러셀 크로우,하비에르 보텟,제이크 존슨,코트니 B. 반스",110분 7초,"3,689,325"
80,터널 (Tunnel),2016-08-10,한국,드라마,김성훈,"하정우,배두나,오달수",126분 20초,"7,120,780"
81,인간중독 (Obsessed),2014-05-14,한국,멜로/로맨스,김대우,"송승헌,임지연,조여정,온주완,유해진",132분 12초,"1,441,990"
82,라라랜드 (LA LA LAND),2016-12-07,미국,드라마,데이미언 셔젤,"라이언 고슬링,엠마 스톤,핀 위트록,J.K. 시몬스",127분 53초,"3,753,774"
83,시동 (START-UP),2019-12-18,한국,드라마,최정열,"마동석,박정민,정해인,염정아,최성은",101분 48초,"3,318,479"
84,봉오동 전투 (The Battle: Roar to Victory),2019-08-07,한국,사극,원신연,"유해진,오승호,유해진,유해진,류준열,조우진",134분 31초,"4,787,538"
85,내 아내의 모든 것 (All About My Wife),2012-05-17,한국,코미디,민규동,"임수정,이선균,류승룡",121분 0초,"4,598,985"
86,마스터 (Master),2016-12-21,한국,액션,조의석,"이병헌,강동원,김우빈",142분 51초,"7,150,586"
87,극비수사 (The Classified File),2015-06-18,한국,드라마,곽경택,"김윤석,유해진",107분 10초,"2,860,786"
88,마션 (The Martian ),2015-10-08,미국,액션,리들리 스콧,"맷 데이먼,제시카 차스테인,제프 다니엘스,케이트 마라,크리스틴 위그",142분 0초,"4,887,144"
89,남산의 부장들 (The Man Standing Next),2020-01-22,한국,드라마,우민호,"이병헌,이성민,곽도원,이희준,김소진",113분 38초,"4,750,345"
90,내부자들 (Inside Men),2015-11-19,한국,범죄,우민호,"이병헌,조승우,백윤식",130분 6초,"7,073,581"
91,해리포터와 마법사의 돌 (Harry Potter And The Socrerers Stone),2001-12-13,미국,가족,크리스 콜럼버스,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트",152분 0초,"267,950"
92,어벤져스: 에이지 오브 울트론 (The Avengers: Age of Ultron),2015-04-23,미국,액션,조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애런 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현",141분 6초,"10,504,007"
93,역린 (The Fatal Encounter),2014-04-30,한국,사극,이재규,"현빈,정재영,조정석,한지민,조재현,박성웅,김성령,정은채",135분 53초,"3,849,700"
94,베놈 (Venom),2018-10-03,미국,액션,루벤 플레셔,"톰 하디,미쉘 윌리엄스,리즈 아메드,제니 슬레이트",107분 0초,"3,888,096"
95,아이언맨 3 (Iron Man 3),2013-04-25,미국,액션,쉐인 블랙,"로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,존 파브로",130분 22초,"9,001,679"
96,신의 한 수: 귀수편 (The Divine Move 2: The Wrathful),2019-11-07,한국,범죄,리건,"박경혜,권상우,김희원,김성균,김광일,김효영,김선웅,김종원",106분 1초,"2,159,081"
97,메이즈 러너 (The Maze Runner),2014-09-18,미국,액션,웨스 볼,"딜런 오브라이언,카야 스코델라리오,윌 폴터,토마스 생스터,이기홍",113분 18초,"2,812,427"
98,국가부도의 날 (Default),2018-11-28,한국,드라마,최국희,"유아인,허준호,김혜수,조우진,뱅상 카셀",114분 18초,"3,755,398"
99,내안의 그놈 (The Dude in Me),2019-01-09,한국,판타지,강효진,"임지형,김희선,박성웅,진영,라미란,서진원,서진원",122분 5초,"1,917,999"
100,뽀로로 극장판 슈퍼썰매 대모험 (Pororo: The Racing Adventure),2013-01-23,한국,애니메이션,박영균,이선,77분 0초,"931,95"
